File;ORM_check;ORM_invited_or_challange;IRM_check;IRM_invited_or_challange;Folder;ID;Start Date;End Date;Process Category;Tribe;Type
;;;;;Hypotheken/Beleggershypotheek/2023-10-06 Communication life cycle Beleggingshypotheken;2171;2023-10-06 00:00:00;2024-01-17 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Payments_Giraal betvk/Betaalverzoek/2023-10-10 iDEAL 2.0 for Payment Request Betaalverzoek;2176;2023-10-10 00:00:00;2024-10-07 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Payments Reporting/Electronisch verantwoording (p+z)/2023-10-10 Grant revocation;2177;2023-10-10 00:00:00;2024-02-06 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Customer Intelligence/Modelling Platform/2023-10-12 Kickstart AI Allow More Communication;2182;2023-10-12 00:00:00;2024-01-31 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Lenen zakelijk/Z_Other/2023-10-17 Process changes to add Flanderijn as 3rd party;2188;2023-10-17 00:00:00;2024-02-15 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Z_Other/Tribe Business Lending/2023-10-17 Process changes to add Flanderijn as 3rd party;2189;2023-10-17 00:00:00;2024-02-15 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Hypotheken/Krediethypotheek/2023-10-18 Correctiemailing overstanden Krediethypotheek;2191;2023-10-18 00:00:00;2024-05-14 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Customer Data/Other/2023-10-19 Spark;2194;2023-10-19 00:00:00;2024-12-04 00:00:00;Risk assessment (non-PAP);Tribe Digital Business Banking;Change
;;;;;Credit Cards/Commercial Credit Cards/2023-10-23 BC application request Front end decline instead of back end;2198;2023-10-23 00:00:00;2024-10-07 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Customer Data/New product/2023-10-25 PartySynchronisationSV;2210;2023-10-25 00:00:00;2025-02-07 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Branding/Communication/2023-10-25 Jouw normaal videoreeks 2023;2213;2023-10-25 00:00:00;2024-01-22 00:00:00;Communication;CoE Communications & Brand Experience;Change
;;;;;Current accounts/Multiple products/2023-10-25 Opening Child Youth Account via MING App only;2215;2023-10-25 00:00:00;2024-01-18 00:00:00;Risk assessment (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Lenen zakelijk/Z_Other/2023-10-27 FEBOBLend API;2220;2023-10-27 00:00:00;2024-08-26 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Customer Data/Process change/2023-09-14 Decom REIS;2221;2023-09-14 00:00:00;2024-05-16 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Verzekeren/ING Autoverzekering/2023-10-27 ING Car Insurance Churn Survey;2224;2023-10-27 00:00:00;2024-02-06 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-10-30 New loan purposes in XCLAS application process;2228;2023-10-30 00:00:00;2024-03-07 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Customer Data/Process change/2023-10-31 Manage UBO STP;2229;2023-10-31 00:00:00;2025-01-24 00:00:00;Risk assessment (non-PAP);Tribe Digital Business Banking;Change
;;;;;Private Banking _ Wealth/Salespitches/2023-11-01 Next Gen salespitch slides;2236;2023-11-01 00:00:00;2024-01-03 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Credit Cards/Creditcard/2023-11-02 Block  Unblock Creditcards;2237;2023-11-02 00:00:00;2024-02-13 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Z_Other/Tribe Business Lending/2023-11-03 Add Organisatie Eenheid Code and Bedieningsvariant to robot;2243;2023-11-03 00:00:00;2024-05-06 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Commercial Finance/Other/2023-11-03 Bulk Factoring;2244;2023-11-03 00:00:00;2024-05-13 00:00:00;Other change (non-PAP);Commercial Finance;Change
;;;;;Current accounts/Betaalrekening/2023-11-06 Hyperpersonalization by GenAI;2249;2023-11-06 00:00:00;2025-02-10 00:00:00;Other change (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Fraud/Process change/2023-11-06 OnePDL NL Retail Rollout;2250;2023-11-06 00:00:00;2024-02-14 00:00:00;Risk assessment (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Hypotheken/Z_Other/2023-11-09 Creditworthness assessment for modifications;2261;2023-11-09 00:00:00;2024-01-17 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Z_Other/Tribe Business Lending/2023-11-14 Implement updated review policy in RC Scorecard;2266;2023-11-14 00:00:00;2024-02-28 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Z_Other/Tribe Business Lending/2023-11-14 Implementation of review policy requirements for CRE Scorecard;2267;2023-11-14 00:00:00;2024-02-28 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Z_Other/Tribe Business Lending/2023-11-14 Introduction of GZ for MidCorp (inc AFSL) reviews;2268;2023-11-14 00:00:00;2024-02-28 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Customer IT Systems & Processes/Process change/2023-11-16 Customer Interacting Teams;2274;2023-11-16 00:00:00;2024-07-18 00:00:00;Risk assessment (non-PAP);Tribe Assisted Channels;Change
;;;;;Digital Sales/Mortgages/2023-11-17 Digital Orientation Conversation Topics;2278;2023-11-17 00:00:00;2024-04-26 00:00:00;(blank);Tribe Digital & Customer Interactions;Change
;;;;;Hypotheken/Z_Other/2023-11-17 Sustainability tool 2024;2279;2023-11-17 00:00:00;2024-12-12 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Z_Other/Tribe Digital & Customer Interactions/2023-11-21 Storing part IDMID in local databse;2283;2023-11-21 00:00:00;2024-05-29 00:00:00;Other change (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Private Banking _ Wealth/Customer Journeys/2023-11-21 AgentlessDialer DVT;2287;2023-11-21 00:00:00;2024-07-24 00:00:00;Risk assessment (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Hypotheken/Z_Other/2023-11-22 Tonen Woningwaarde;2291;2023-11-22 00:00:00;2024-04-10 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Private Banking _ Wealth/Campagnes/2023-11-22 Award Private Banking 2023;2294;2023-11-22 00:00:00;2024-01-03 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-11-23 Expand ockto datasources;2295;2023-11-23 00:00:00;2025-01-17 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Z_Other/Tribe Digital & Customer Interactions/2023-11-23 MMFHWebpagesOpen;2296;2023-11-23 00:00:00;2024-07-09 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Customer Data/Process change/2023-11-24 4108319 NextGen Payments Regular Processes;2300;2023-11-24 00:00:00;2024-10-02 00:00:00;Risk assessment (non-PAP);Tribe Digital Business Banking;Change
;;;;;Digital Sales/Consumer Loans/2023-11-27 Loans overviewpage relevant content higher;2305;2023-11-27 00:00:00;2024-07-11 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Payments Mobile Payments/Mobiel Betalen/2023-11-28 HCE Decommissioning;2310;2023-11-28 00:00:00;2024-07-10 00:00:00;Termination of financial product/-service/channel (PAP);Tribe Payments;Change
;;;;;Digital Sales/Digital Touchpoints/2023-12-04 Error pages ing.nl;2319;2023-12-04 00:00:00;2024-02-15 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Private Banking _ Wealth/Campagnes/2023-12-04 Wealth beyond yourself activation concept;2321;2023-12-04 00:00:00;2024-10-11 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Hypotheken - WUB/Z_Other/2023-12-08 PEA (Customer approach Interest Only Stater);2333;2023-12-08 00:00:00;2024-04-18 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Verzekeren/ING Autoverzekering/2023-12-08 Lead model comparison sites;2336;2023-12-08 00:00:00;2024-04-03 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Hypotheken/Adviesteam Wonen/2023-12-11 Orientation certificates adjustments 2024 legislation;2343;2023-12-11 00:00:00;2024-05-30 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Hypotheken - WUB/Z_Other/2023-12-12 Wijzigingen beleid 20241;2345;2023-12-12 00:00:00;2024-01-05 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Kantoren/ING Huizen/2023-12-12 ING Huizen Informeren over eenvoudig beleggen;2347;2023-12-12 00:00:00;2024-03-14 00:00:00;Other change (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Hypotheken/Z_Other/2023-12-13 ATW Normkader actualisatie 012024;2353;2023-12-13 00:00:00;2024-03-18 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Credit Cards/Commercial Credit Cards/2023-12-14 Commercial Cards  FO Risk to CLT;2355;2023-12-14 00:00:00;2024-01-16 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Private Banking _ Wealth/Campagnes/2023-12-14 LinkedIn post Private Markets 14122023;2356;2023-12-14 00:00:00;2024-01-03 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Z_Other/Consumer Lending & Insurance/2023-12-15 Interest increase ING Rood Staan and ING RS studenten;2358;2023-12-15 00:00:00;2024-03-06 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Verzekeren/ING Aansprakelijkheidsverzekering Particulieren/2023-12-18 Product upgrade Liability;2361;2023-12-18 00:00:00;2024-02-26 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Hypotheken/Z_Other/2023-12-18 prediscussion note;2363;2023-12-18 00:00:00;2024-02-21 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Verzekeren/New product/2023-12-19 Distribution flow and company car insurance;2364;2023-12-19 00:00:00;2024-10-31 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Verzekeren/Business Zekerheidspakket/2023-12-19 Closed book Business Zekerheidspakket;2365;2023-12-19 00:00:00;2024-07-09 00:00:00;Termination of financial product/-service/channel (PAP);Consumer Lending & Insurance;Change
;;;;;Private Banking _ Wealth/Ki/2023-12-21 Ki proposition in One app;2372;2023-12-21 00:00:00;2024-03-28 00:00:00;Risk assessment (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Digital Sales/Consumer Loans/2023-12-21 Personal loans link from open to closed;2376;2023-12-21 00:00:00;2024-01-11 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Mortgages/2023-12-22 Digital Orientation Chat;2378;2023-12-22 00:00:00;2024-03-21 00:00:00;Risk assessment (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Hypotheken/Z_Other/2024-01-02 Future Proof Mortgage 2.0;2379;2024-01-02 00:00:00;2024-07-24 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;KYC/Process change/2024-01-04 Make UHRC sideletter available via a hidden direct link;2381;2024-01-04 00:00:00;2024-01-10 00:00:00;Other change (non-PAP);Tribe KYC Services;Change
;;;;;Z_Other/Consumer Lending & Insurance/2024-01-08 Shadow run pCrayon;2385;2024-01-08 00:00:00;2025-04-05 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Transaction Services/Business Banking Service fee/2024-01-09 Business Banking Bos;2388;2024-01-09 00:00:00;2024-10-09 00:00:00;Risk assessment (non-PAP);ESG BB;Change
;;;;;Hypotheken/Z_Other/2024-01-09 Various text changes in the brochure Basisinformatie;2389;2024-01-09 00:00:00;2024-02-13 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Private Banking _ Wealth/Z_Other/2024-01-10 Contact details RMAM in One App;2391;2024-01-10 00:00:00;2024-05-15 00:00:00;Other change (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Collections/Other/2024-01-11 Implement Nibud API;2395;2024-01-11 00:00:00;2025-01-07 00:00:00;Risk assessment (non-PAP);Tribe Collections;Change
;;;;;Credit Cards/Creditcard/2024-01-11 Decom Emergency limit increase;2400;2024-01-11 00:00:00;2024-03-01 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Digital Sales/Investments - Verdi/2024-01-11 Check on SEA ads investments;2401;2024-01-11 00:00:00;2024-01-17 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Beleggingsrekeningen/Vermogensadvies/2024-01-11 Private Markets treshold;2402;2024-01-11 00:00:00;2024-02-14 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Hypotheken/Z_Other/2024-01-11 Sales with conditions KoopStart  Garant;2404;2024-01-11 00:00:00;2024-09-30 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Credit Cards/Creditcard/2024-01-12 Stop offering emergency limit increases;2407;2024-01-12 00:00:00;2024-01-12 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Verzekeren/ING Autoverzekering/2024-01-12 Janary 2024  Extension Car Campaign;2408;2024-01-12 00:00:00;2024-01-24 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Z_Other/Consumer Lending & Insurance/2024-01-12 GrossNet tool 2024;2409;2024-01-12 00:00:00;2024-02-20 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Hypotheken/ILM/2024-01-15 Change LTV based on debt;2410;2024-01-15 00:00:00;2024-10-09 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Digital Sales/Insurance/2024-01-15 Insurance  SEO BrandWinterWereld;2411;2024-01-15 00:00:00;2024-07-04 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Consumer Loans/2024-01-15 Loans  creatives paid media Q1 2024;2412;2024-01-15 00:00:00;2024-07-11 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Private Banking _ Wealth/Internetpagina/2024-01-16 Wealth Beyond Yourself  new texts Private Banking website;2414;2024-01-16 00:00:00;2024-03-07 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Customer Data/Process change/2024-01-17 Adding the CCBR check to the Curatele proces;2416;2024-01-17 00:00:00;2024-05-16 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Digital Sales/Mortgages/2024-01-17 Adjust max loan;2418;2024-01-17 00:00:00;2024-01-18 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Z_Other/Tribe Digital & Customer Interactions/2024-01-18 Add Video Capability to Mobile App;2420;2024-01-18 00:00:00;2024-01-18 00:00:00;Other change (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Private Banking _ Wealth/Campagnes/2024-01-22 Wealth beyond yourself advertisement;2423;2024-01-22 00:00:00;2024-01-25 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Lenen zakelijk/Z_Other/2024-01-22 Climate Risk Assessment Transition Risk Classification;2424;2024-01-22 00:00:00;2024-08-26 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;KYC/Process change/2024-01-23 ING Hub KYC onboarding SME and periodic review SME NR;2426;2024-01-23 00:00:00;2024-10-29 00:00:00;Risk assessment (non-PAP);Tribe KYC Services;Change
;;;;;Hypotheken/ILM/2024-01-23 Change of Deed of Cocommitment;2427;2024-01-23 00:00:00;2024-01-30 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Beleggingsrekeningen/Beleggen App/2024-01-23 Order overview in MBA;2428;2024-01-23 00:00:00;2024-02-09 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Verzekeren/Z_Other/2024-01-23 Insurance PI discount campaigns;2429;2024-01-23 00:00:00;2024-03-06 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-01-24 Fixed Rate Note IPO 20241;2431;2024-01-24 00:00:00;2024-01-24 00:00:00;Communication;Tribe Investments;Change
;;;;;Customer Intelligence/Modelling Platform/2024-01-25 Allow More Potjescheck campaign;2433;2024-01-25 00:00:00;2024-04-25 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Investments - Verdi/2024-01-25 POC Blue Billywig;2434;2024-01-25 00:00:00;2024-08-12 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Beleggingsrekeningen/Beleggen App/2024-01-25 Benchmark comparison in MBA;2435;2024-01-25 00:00:00;2024-02-09 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Z_Other/Tribe Mortgages/2024-01-29 Stepper;2440;2024-01-29 00:00:00;2024-03-21 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Current accounts/Vreemde Valutarekening/2024-01-30 Visibility Foreign Currency Account for Private Individuals;2444;2024-01-30 00:00:00;2024-10-17 00:00:00;Other change (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Hypotheken/Z_Other/2024-01-17 MIA Comparison Chart;2446;2024-01-17 00:00:00;2024-06-10 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Beleggingsrekeningen/Vermogensbeheer/2024-01-31 Policy change suitability assessment advice;2449;2024-01-31 00:00:00;2024-02-06 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Private Banking _ Wealth/Adviesteam Vermogen/2024-01-31 Toolkit ATV;2450;2024-01-31 00:00:00;2024-03-20 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Verzekeren/ING Woonverzekering/2024-01-31 Home campaign Spring 2024;2453;2024-01-31 00:00:00;2024-03-11 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Customer Data/Process change/2024-01-31 Register informal name by CDDanalyst in IRIS  4183600;2454;2024-01-31 00:00:00;2024-04-22 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Z_Other/Private Banking & Wealth Mgt (Advice)/2024-02-02 Vermogensoverdracht en het belang van openheid;2460;2024-02-02 00:00:00;2024-02-15 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Payments Cards Issuing/Betaalpas particulier (cards issuing)/2024-02-01 Geo profile phase out  July 1st 2024;2468;2024-02-01 00:00:00;2024-07-10 00:00:00;Termination of financial product/-service/channel (PAP);Tribe Payments;Change
;;;;;Lenen zakelijk/Z_Other/2024-02-07 TRACR Categorization and Affordability and PSD2;2469;2024-02-07 00:00:00;2024-10-14 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Business Lending;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-02-07 Cashback eigen fondsen in ZOB;2472;2024-02-07 00:00:00;2024-02-15 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Digital Sales/Investments - Verdi/2024-02-08 spaarrenteverhogingexperimentPDP;2477;2024-02-08 00:00:00;2024-03-13 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2024-02-08 Eenvoudig Beleggen  onboarding flow  ordering cost page;2478;2024-02-08 00:00:00;2024-05-27 00:00:00;Communication;Tribe Investments;Change
;;;;;Customer Data/Process change/2024-02-09 Simple Electronic Signature (SES);2479;2024-02-09 00:00:00;2024-04-19 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
riskjourneytool review ip.xlsm;ORM;To be invited for challenge;IRM;To be informed;Beyond Banking/ING Punten/2024-02-09 Punten op klantniveau;2480;2024-02-09 00:00:00;2024-05-28 00:00:00;Risk assessment (non-PAP);Tribe Daily Banking & Digital First;Change
riskjourneytool review ip.xlsm;ORM;To be invited for challenge;IRM;To be informed;Beyond Banking/ING Punten/2024-02-09 Punten op klantniveau;2480;2024-02-09 00:00:00;2024-05-28 00:00:00;Risk assessment (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Private Banking _ Wealth/Z_Other/2024-02-12 Private Banking breidt aanbod Private Markets verder uit;2483;2024-02-12 00:00:00;2024-07-09 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Sparen/Zakelijk deposito/2024-02-12 Simple Electronic Signature (SES) Tribe Daily Banking  Mobile led;2484;2024-02-12 00:00:00;2024-10-15 00:00:00;Other change (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Sparen/Z_Other/2024-02-13 Adjustments Sparen pages on ing.nl and App and web;2488;2024-02-13 00:00:00;2024-03-14 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Z_Other/Tribe Payments/2024-02-14 Simple Electronic Signature (SES) Tribe Payments;2491;2024-02-14 00:00:00;2024-10-07 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2024-02-15 Relation flow for Minors V2;2497;2024-02-15 00:00:00;2024-03-06 00:00:00;Other change (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Digital Channels/Other/2024-02-15 Feature 5109864;2498;2024-02-15 00:00:00;2024-02-16 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2024-02-15 Spaarchallenge GenZ;2499;2024-02-15 00:00:00;2025-01-13 00:00:00;Risk assessment (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Customer Data/Process change/2024-02-15 Adding unknown UBOs;2503;2024-02-15 00:00:00;2024-05-16 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Digital Sales/Payments and Cards/2024-02-15 ACOV Student Creditcard nonprimary customers;2504;2024-02-15 00:00:00;2024-02-15 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Personalization/2024-02-16 New To Bank Journey Welcome;2506;2024-02-16 00:00:00;2024-03-10 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Personalization/2024-02-16 New to Bank Journey Basic App Settings;2507;2024-02-16 00:00:00;2024-03-10 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Personalization/2024-02-16 New to Bank Journey Personalise your App;2508;2024-02-16 00:00:00;2024-03-10 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Personalization/2024-02-16 New to Bank Journey Current Account Usage;2509;2024-02-16 00:00:00;2024-03-10 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Personalization/2024-02-16 New to Bank Journey Mobile Payments;2510;2024-02-16 00:00:00;2024-10-01 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Personalization/2024-02-16 New to Bank Journey Product Shop;2511;2024-02-16 00:00:00;2024-03-03 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Personalization/2024-02-16 New to Bank Journey Basic Consent;2512;2024-02-16 00:00:00;2024-03-10 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Z_Other/Tribe Business Lending/2024-02-16 Update to scorecards for EBA LOM;2513;2024-02-16 00:00:00;2024-07-01 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;KYC/Process change/2024-02-19 KYC Uitbreiding scope MO met nonEEA landen (4580907);2515;2024-02-19 00:00:00;2024-11-28 00:00:00;Risk assessment (non-PAP);Tribe KYC Services;Change
;;;;;Digital Sales/Current accounts/2024-02-19 Keuzehulp Betaalrekeningen;2517;2024-02-19 00:00:00;2024-02-19 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Lenen zakelijk/RCK Actief-C-RCKDB/2024-02-20 Adjust letter KOSLimietverlagingsbrief and abolish letter;2523;2024-02-20 00:00:00;2024-04-25 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Client Services/Process change/2024-02-20 NON FTF to Iris;2524;2024-02-20 00:00:00;2024-02-20 00:00:00;Other change (non-PAP);Client Services Retail Contact Centre;Change
;;;;;Hypotheken/Z_Other/2024-02-21 4871090 Transfer documents from Advice to Acceptance phase;2528;2024-02-21 00:00:00;2024-07-03 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Z_Other/Consumer Lending & Insurance/2024-02-21 Add Change linked Current Account in appweb by customer;2530;2024-02-21 00:00:00;2024-07-26 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Z_Other/Tribe Digital & Customer Interactions/2024-02-22 Insight widget MVP;2532;2024-02-22 00:00:00;2024-03-21 00:00:00;Other change (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Fraud/Other/2024-02-23 Disclose IRIS data to RiskShield;2534;2024-02-23 00:00:00;2024-11-12 00:00:00;Risk assessment (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Lenen zakelijk/Z_Other/2024-02-26 PLM Policy;2536;2024-02-26 00:00:00;2024-05-17 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Sparen/Oranje Spaarrekening/2024-02-26 Vakantiegeldactie 2024;2537;2024-02-26 00:00:00;2024-05-08 00:00:00;Other change (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Z_Other/Consumer Lending & Insurance/2024-02-26 Transferring data from Smart Calculator to Loans Apply flow;2538;2024-02-26 00:00:00;2024-07-26 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Branding/Other/2024-02-26 UMMO Data sharing;2539;2024-02-26 00:00:00;2025-04-14 00:00:00;Other change (non-PAP);CoE Communications & Brand Experience;Change
;;;;;Hypotheken/Beleggershypotheek/2024-02-27 Waarschuwingsbrief Klantgroep B;2544;2024-02-27 00:00:00;2024-04-11 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Digital Sales/Current accounts/2024-02-27 Ghost Account Shared Current Account;2545;2024-02-27 00:00:00;2024-03-01 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Current accounts/2024-02-27 Killer Conversions project part 2;2546;2024-02-27 00:00:00;2024-03-01 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Z_Other/Consumer Lending & Insurance/2024-02-28 Communication plan ex ING customers project Lapwing;2547;2024-02-28 00:00:00;2024-06-21 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2024-02-28 New pricing for ESG loan purposes car loan;2553;2024-02-28 00:00:00;2024-11-19 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Verzekeren/Z_Other/2024-02-29 Expansion pilot lead model comparison sites to Home and Travel;2558;2024-02-29 00:00:00;2024-06-10 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Payments_Giraal betvk/Betaalverzoek/2024-02-29 5589968  Removed ECO1 Magdat BTVZ;2559;2024-02-29 00:00:00;2024-10-07 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Sparen/Groen Spaardeposito/2024-03-01 Fusie Groenbank naar ING Bank;2562;2024-03-01 00:00:00;2024-10-07 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Daily Banking & Digital First;Change
;;;;;Credit Cards/Creditcard/2024-03-04 Acceptance policy changes 2024;2563;2024-03-04 00:00:00;2024-07-15 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Digital Sales/Mortgages/2024-03-04 Content review Digital Mortgages;2565;2024-03-04 00:00:00;2024-10-23 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
