Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Personal Data;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Contract;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Inform Supervisory Authority;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Finance;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
General Risk Identification & Assessment;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
IT;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Pricing;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Stakeholder Assessment;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Risk Summary & Approval;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Model Risk;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Third-Party Data Processing;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
Communication to Customers;True;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
End User Computing;False;riskjourneytool change3620.xlsm;Digital Sales/Z_Other/2025-02-06 Footprint Tips  Actions;2025-04-18 15:24:28
