Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Personal Data;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Contract;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Inform Supervisory Authority;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Finance;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
General Risk Identification & Assessment;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
IT;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Pricing;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Stakeholder Assessment;True;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Risk Summary & Approval;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Model Risk;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Third-Party Data Processing;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
Communication to Customers;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
End User Computing;False;riskjourneytool change - addition of income and expense graph.xlsm;Customer IT Systems & Processes/Communication/2022-08-17 Income  Expense graph;2024-01-25 20:37:13
