Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Personal Data;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Contract;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Inform Supervisory Authority;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Finance;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
General Risk Identification & Assessment;True;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
IT;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Pricing;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Stakeholder Assessment;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Risk Summary & Approval;True;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Model Risk;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Third-Party Data Processing;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
Communication to Customers;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
End User Computing;False;riskjourneytool change3709.xlsm;Persoonlijke Lening/Persoonlijke Lening/2025-03-05 Reusing Checked Evidence in Recurring Applications;2025-04-26 12:34:26
