Module Title;Applicable;File;Folder;File date
Customer Suitability;True;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Personal Data;False;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Contract;True;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Inform Supervisory Authority;True;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Finance;True;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
General Risk Identification & Assessment;True;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
IT;False;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Pricing;True;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Stakeholder Assessment;True;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Risk Summary & Approval;True;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Model Risk;False;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Third-Party Data Processing;False;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
Communication to Customers;False;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
End User Computing;False;riskjourneytool change3473.xlsm;Verzekeren/Maverick/2024-12-09 Contract Risk Carrier(s);2025-04-11 14:41:27
