Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Personal Data;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Contract;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Inform Supervisory Authority;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Finance;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
General Risk Identification & Assessment;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
IT;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Pricing;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Stakeholder Assessment;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Risk Summary & Approval;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Model Risk;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Third-Party Data Processing;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
Communication to Customers;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
End User Computing;False;riskjourneytool change3543.xlsm;Z_Other/Tribe Daily Banking & Digital First/2025-01-14 Confirm and update missing details (email phone address);2025-03-04 10:58:08
