Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Personal Data;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Contract;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Inform Supervisory Authority;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Finance;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
General Risk Identification & Assessment;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
IT;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Pricing;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Stakeholder Assessment;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Risk Summary & Approval;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Model Risk;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Third-Party Data Processing;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
Communication to Customers;True;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
End User Computing;False;riskjourneytool change3377.xlsm;Z_Other/Tribe Digital & Customer Interactions/2024-11-15 Throwback Feature;2024-11-21 09:56:18
