Module Title;Applicable;File;Folder;File date
Customer Suitability;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Personal Data;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Contract;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Inform Supervisory Authority;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Finance;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
General Risk Identification & Assessment;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
IT;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Pricing;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Stakeholder Assessment;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Risk Summary & Approval;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Model Risk;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Third-Party Data Processing;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
Communication to Customers;True;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
End User Computing;False;riskjourneytool change3626.xlsm;Collections/Communication/2025-02-07 Sustainable Cure for Customers with arrears;2025-04-24 17:50:08
